match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg,bp_std,bp_max,top_kills_share,bp_range,date_utc,best_of,stage,is_lan,series_kills_roll,series_deaths_roll,series_damage_roll,series_kdr_roll,avg_bp_rtg_roll,bp_std_roll,bp_max_roll,top_kills_share_roll,bp_range_roll
93840,Atlanta FaZe,1,3,1,302,270,38682,1.1185,1.1475,0.1024,1.24,0.2781,0.0925,2025-01-10 16:30:00+00:00,5,major,1,295.4,293.4,38542.0,1.0082,0.9665,0.085,1.05,0.274,0.0835
93846,Atlanta FaZe,1,3,1,359,329,43723,1.0912,1.0975,0.0806,1.21,0.312,0.1125,2025-01-11 19:30:00+00:00,5,major,1,311.2,301.4,39638.4,1.0327,0.9975,0.0896,1.088,0.2785,0.0905
93847,Atlanta FaZe,1,3,2,402,392,52082,1.0255,1.025,0.0443,1.06,0.2562,0.035,2025-01-12 15:00:00+00:00,5,major,1,318.6,303.0,40532.8,1.0477,1.032,0.0849,1.116,0.2771,0.084
93849,Atlanta FaZe,1,3,1,332,293,41413,1.1331,1.215,0.1526,1.36,0.2922,0.145,2025-01-12 18:00:00+00:00,5,major,1,344.4,312.0,43340.2,1.1106,1.141,0.097,1.24,0.2834,0.099
93858,Atlanta FaZe,1,3,1,319,265,39223,1.2038,1.22,0.0829,1.34,0.2727,0.12,2025-01-19 18:00:00+00:00,5,minor,0,342.8,309.8,43024.6,1.1144,1.141,0.0926,1.242,0.2822,0.101
93861,Atlanta FaZe,1,3,0,239,199,29387,1.201,1.2625,0.1497,1.36,0.2762,0.0975,2025-01-24 18:00:00+00:00,5,minor,0,330.2,295.6,41165.6,1.1309,1.164,0.102,1.266,0.2818,0.102
93866,Atlanta FaZe,1,3,2,384,349,47515,1.1003,1.1475,0.0978,1.28,0.2839,0.1325,2025-01-26 16:30:00+00:00,5,minor,0,335.2,299.6,41924.0,1.1327,1.174,0.1055,1.28,0.2762,0.106
93868,Atlanta FaZe,1,3,0,222,167,26857,1.3293,1.35,0.08,1.39,0.2703,0.04,2025-01-30 10:00:00+00:00,5,major,1,299.2,254.6,36879.0,1.1935,1.239,0.1126,1.346,0.279,0.107
93879,Atlanta FaZe,1,3,0,250,235,31674,1.0638,1.1275,0.055,1.2,0.264,0.0725,2025-02-01 11:30:00+00:00,5,major,1,282.8,243.0,34931.2,1.1796,1.2215,0.0931,1.314,0.2734,0.0925
93883,Atlanta FaZe,1,3,2,362,379,46253,0.9551,0.975,0.0342,1.02,0.2707,0.045,2025-02-02 11:30:00+00:00,5,major,1,291.4,265.8,36337.2,1.1299,1.1725,0.0833,1.25,0.273,0.0775
