match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg,bp_std,bp_max,top_kills_share,bp_range,date_utc,best_of,stage,is_lan
93815,LA Guerrillas M8,0,2,3,399,358,52562,1.1145251396648044,1.075,0.12819256348686273,1.2,0.2832080200501253,0.125,2024-12-06 15:00:00+00:00,5,minor,0
93815,Minnesota RØKKR,1,3,2,358,399,50131,0.8972431077694235,0.9225,0.03862210075418821,0.96,0.2709497206703911,0.03749999999999998,2024-12-06 15:00:00+00:00,5,minor,0
93816,OpTic Texas,0,2,3,393,376,49822,1.0452127659574468,1.04,0.16020819787597218,1.18,0.2900763358778626,0.1399999999999999,2024-12-06 16:30:00+00:00,5,minor,0
93816,Boston Breach,1,3,2,376,393,48466,0.9567430025445292,0.9625,0.08770214744615243,1.06,0.2765957446808511,0.09750000000000003,2024-12-06 16:30:00+00:00,5,minor,0
93817,Vegas Falcons,0,1,3,278,291,36010,0.9553264604810996,0.94,0.13114877048604004,1.11,0.28776978417266186,0.17000000000000004,2024-12-06 18:00:00+00:00,5,minor,0
93817,Carolina Royal Ravens,1,3,1,289,278,37159,1.039568345323741,1.0575,0.13671747023210548,1.18,0.28719723183391005,0.12250000000000005,2024-12-06 18:00:00+00:00,5,minor,0
93818,Atlanta FaZe,0,1,3,280,289,38241,0.9688581314878892,0.9425,0.057373048260195,1.02,0.2892857142857143,0.07750000000000001,2024-12-06 19:30:00+00:00,5,minor,0
93818,Toronto Ultra,1,3,1,289,280,38694,1.0321428571428573,1.06,0.1174734012447073,1.23,0.31141868512110726,0.16999999999999993,2024-12-06 19:30:00+00:00,5,minor,0
93819,Miami Heretics,1,3,0,241,222,31156,1.0855855855855856,1.17,0.0658280588604383,1.24,0.26556016597510373,0.07000000000000006,2024-12-07 15:00:00+00:00,5,minor,0
93819,Vegas Falcons,0,0,3,222,242,29883,0.9173553719008264,0.8300000000000001,0.13038404810405302,1.01,0.2882882882882883,0.18000000000000005,2024-12-07 15:00:00+00:00,5,minor,0
93820,Minnesota RØKKR,1,3,2,318,356,43571,0.8932584269662921,0.8725,0.14174507634012076,1.06,0.29245283018867924,0.1875,2024-12-07 16:30:00+00:00,5,minor,0
93820,Boston Breach,0,2,3,356,318,45007,1.119496855345912,1.13,0.06055300708194979,1.2,0.27808988764044945,0.07000000000000006,2024-12-07 16:30:00+00:00,5,minor,0
93821,Vancouver Surge,0,2,3,357,375,47158,0.952,0.9575,0.11412712210513326,1.07,0.2773109243697479,0.11250000000000004,2024-12-07 18:00:00+00:00,5,minor,0
