match_id,date_utc,tournament,best_of,stage,is_lan
93815,2024-12-06T15:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93816,2024-12-06T16:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93817,2024-12-06T18:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93818,2024-12-06T19:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93819,2024-12-07T15:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93820,2024-12-07T16:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93821,2024-12-07T18:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93822,2024-12-07T19:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93823,2024-12-08T15:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93824,2024-12-08T16:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93825,2024-12-08T18:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93826,2024-12-08T19:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93827,2024-12-13T15:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93828,2024-12-13T16:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93829,2024-12-13T18:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93830,2024-12-13T19:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93831,2024-12-14T15:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93832,2024-12-14T16:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93833,2024-12-14T18:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93834,2024-12-14T19:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93835,2024-12-15T15:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93836,2024-12-15T16:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93837,2024-12-15T18:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93838,2024-12-15T19:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93839,2025-01-10T15:00:00+00:00,CDL Minor 1 Tournament,5,major,1
93840,2025-01-10T16:30:00+00:00,CDL Minor 1 Tournament,5,major,1
93841,2025-01-10T18:00:00+00:00,CDL Minor 1 Tournament,5,major,1
93842,2025-01-10T19:30:00+00:00,CDL Minor 1 Tournament,5,major,1
93843,2025-01-11T15:00:00+00:00,CDL Minor 1 Tournament,5,major,1
93844,2025-01-11T16:30:00+00:00,CDL Minor 1 Tournament,5,major,1
93845,2025-01-11T18:00:00+00:00,CDL Minor 1 Tournament,5,major,1
93846,2025-01-11T19:30:00+00:00,CDL Minor 1 Tournament,5,major,1
93847,2025-01-12T15:00:00+00:00,CDL Minor 1 Tournament,5,major,1
93848,2025-01-12T16:30:00+00:00,CDL Minor 1 Tournament,5,major,1
93849,2025-01-12T18:00:00+00:00,CDL Minor 1 Tournament,5,major,1
93850,2025-01-17T15:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93851,2025-01-17T16:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93852,2025-01-17T18:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93853,2025-01-18T15:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93854,2025-01-18T16:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93855,2025-01-18T18:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93856,2025-01-19T15:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93857,2025-01-19T16:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93858,2025-01-19T18:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93859,2025-01-24T15:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93860,2025-01-24T16:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93861,2025-01-24T18:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93862,2025-01-25T15:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93863,2025-01-25T16:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93864,2025-01-25T18:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93865,2025-01-26T15:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93866,2025-01-26T16:30:00+00:00,CDL Major 1 Qualifier,5,minor,0
93867,2025-01-26T18:00:00+00:00,CDL Major 1 Qualifier,5,minor,0
93868,2025-01-30T10:00:00+00:00,CDL Major 1 Tournament,5,major,1
93869,2025-01-30T11:30:00+00:00,CDL Major 1 Tournament,5,major,1
93870,2025-01-30T13:00:00+00:00,CDL Major 1 Tournament,5,major,1
93871,2025-01-30T14:30:00+00:00,CDL Major 1 Tournament,5,major,1
93872,2025-01-31T08:30:00+00:00,CDL Major 1 Tournament,5,major,1
93873,2025-01-31T10:00:00+00:00,CDL Major 1 Tournament,5,major,1
93874,2025-01-31T11:30:00+00:00,CDL Major 1 Tournament,5,major,1
93875,2025-01-31T13:00:00+00:00,CDL Major 1 Tournament,5,major,1
93876,2025-01-31T14:30:00+00:00,CDL Major 1 Tournament,5,major,1
93877,2025-02-01T08:30:00+00:00,CDL Major 1 Tournament,5,major,1
93878,2025-02-01T10:00:00+00:00,CDL Major 1 Tournament,5,major,1
93879,2025-02-01T11:30:00+00:00,CDL Major 1 Tournament,5,major,1
93880,2025-02-01T13:00:00+00:00,CDL Major 1 Tournament,5,major,1
93881,2025-02-01T14:30:00+00:00,CDL Major 1 Tournament,5,major,1
93882,2025-02-02T10:00:00+00:00,CDL Major 1 Tournament,5,major,1
93883,2025-02-02T11:30:00+00:00,CDL Major 1 Tournament,5,major,1
93884,2025-02-02T13:00:00+00:00,CDL Major 1 Tournament,5,major,1
93885,2025-02-02T14:30:00+00:00,CDL Major 1 Tournament,7,major finals,1
93886,2025-02-14T15:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93887,2025-02-14T16:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93888,2025-02-14T18:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93889,2025-02-15T15:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93890,2025-02-15T16:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93891,2025-02-15T18:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93892,2025-02-15T19:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93893,2025-02-16T15:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93894,2025-02-16T16:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93895,2025-02-16T18:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93896,2025-02-16T19:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93897,2025-02-21T15:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93898,2025-02-21T16:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93899,2025-02-21T18:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93900,2025-02-22T15:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93901,2025-02-22T16:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93902,2025-02-22T18:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93903,2025-02-22T19:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93904,2025-02-23T15:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93905,2025-02-23T16:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93906,2025-02-23T18:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93907,2025-02-28T18:00:00+00:00,CDL Minor 2 Tournament,5,major,1
93908,2025-02-28T16:30:00+00:00,CDL Minor 2 Tournament,5,major,1
93909,2025-02-28T19:30:00+00:00,CDL Minor 2 Tournament,5,major,1
93910,2025-02-28T15:00:00+00:00,CDL Minor 2 Tournament,5,major,1
93911,2025-03-01T16:30:00+00:00,CDL Minor 2 Tournament,5,major,1
93912,2025-03-01T18:00:00+00:00,CDL Minor 2 Tournament,5,major,1
93913,2025-03-01T19:30:00+00:00,CDL Minor 2 Tournament,5,major,1
93914,2025-03-01T15:00:00+00:00,CDL Minor 2 Tournament,5,major,1
