match_id,player_name,team_name,kills,deaths,damage,bp_rtg
93815,KiSMET,LA Guerrillas M8,96,93,12214,0.98
93815,Lynz,LA Guerrillas M8,113,96,12946,1.17
93815,Priestahh,LA Guerrillas M8,83,91,12648,0.95
93815,Skyz,LA Guerrillas M8,107,78,14754,1.2
93815,Estreal,Minnesota RØKKR,95,101,12024,0.92
93815,Gio,Minnesota RØKKR,80,98,12456,0.94
93815,Nero,Minnesota RØKKR,97,100,12117,0.96
93815,PaulEhx,Minnesota RØKKR,86,100,13534,0.87
93816,Dashy,OpTic Texas,103,93,14563,1.07
93816,Kenny,OpTic Texas,78,104,10298,0.81
93816,Pred,OpTic Texas,98,88,11417,1.1
93816,Shotzzy,OpTic Texas,114,91,13544,1.18
93816,Cammy,Boston Breach,104,94,13121,1.06
93816,Owakening,Boston Breach,92,93,11825,0.95
93816,Purj,Boston Breach,84,109,11951,0.85
93816,Snoopy,Boston Breach,96,97,11569,0.99
93817,Exnid,Vegas Falcons,71,79,9479,0.87
93817,Khhx,Vegas Falcons,80,66,9378,1.11
93817,KingAbody,Vegas Falcons,62,79,7731,0.81
93817,Roxas,Vegas Falcons,65,67,9422,0.97
93817,Gwinn,Carolina Royal Ravens,83,67,9324,1.18
93817,SlasheR,Carolina Royal Ravens,80,65,10384,1.17
93817,TJHaLy,Carolina Royal Ravens,66,75,8294,0.96
93817,Vivid,Carolina Royal Ravens,60,71,9157,0.92
93818,aBeZy,Atlanta FaZe,81,73,9413,1.02
93818,Cellium,Atlanta FaZe,65,69,9968,0.95
93818,Drazah,Atlanta FaZe,70,78,10254,0.91
93818,Simp,Atlanta FaZe,64,69,8606,0.89
93818,Beans,Toronto Ultra,72,68,10602,1.03
93818,CleanX,Toronto Ultra,90,71,10114,1.23
93818,Insight,Toronto Ultra,59,66,9065,0.96
93818,JoeDeceives,Toronto Ultra,68,75,8913,1.02
93819,Lucky,Miami Heretics,55,54,7451,1.13
93819,MettalZ,Miami Heretics,61,53,7423,1.21
93819,ReeaL,Miami Heretics,64,58,8104,1.24
93819,RenKoR,Miami Heretics,61,57,8178,1.1
93819,Exnid,Vegas Falcons,60,65,8039,0.82
93819,Khhx,Vegas Falcons,64,50,8181,1.01
93819,KingAbody,Vegas Falcons,43,63,6239,0.7
93819,Roxas,Vegas Falcons,55,64,7424,0.79
93820,Estreal,Minnesota RØKKR,60,89,9775,0.74
93820,Gio,Minnesota RØKKR,74,93,10739,0.79
93820,Nero,Minnesota RØKKR,91,93,11120,0.9
93820,PaulEhx,Minnesota RØKKR,93,81,11937,1.06
93820,Cammy,Boston Breach,82,74,10737,1.09
93820,Owakening,Boston Breach,80,76,11770,1.07
93820,Purj,Boston Breach,95,84,11858,1.16
93820,Snoopy,Boston Breach,99,84,10642,1.2
93821,04,Vancouver Surge,91,98,10843,0.93
93821,Abuzah,Vancouver Surge,79,100,12578,0.81
93821,Hicksy,Vancouver Surge,99,88,11935,1.07
93821,Nastie,Vancouver Surge,88,89,11802,1.02
93821,Beans,Toronto Ultra,95,86,12865,1.08
93821,CleanX,Toronto Ultra,99,97,12192,1.01
93821,Insight,Toronto Ultra,86,78,12175,1.08
93821,JoeDeceives,Toronto Ultra,95,96,11545,1.0
93822,Envoy,Los Angeles Thieves,87,74,10155,1.32
93822,Ghosty,Los Angeles Thieves,66,66,9266,1.21
93822,HyDra,Los Angeles Thieves,103,72,11115,1.39
93822,Scrap,Los Angeles Thieves,86,69,11174,1.33
93822,Attach,Cloud9 New York,62,88,8987,0.62
93822,Kremp,Cloud9 New York,72,86,9416,0.69
93822,Mack,Cloud9 New York,81,84,9031,0.78
93822,Sib,Cloud9 New York,66,87,10074,0.67
93823,KiSMET,LA Guerrillas M8,93,93,10566,0.91
93823,Lynz,LA Guerrillas M8,80,87,10143,0.92
93823,Priestahh,LA Guerrillas M8,67,82,9479,0.89
93823,Skyz,LA Guerrillas M8,65,84,9600,0.83
93823,Gwinn,Carolina Royal Ravens,97,70,11718,1.26
93823,SlasheR,Carolina Royal Ravens,97,81,12307,1.17
