match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg
93815,LA Guerrillas M8,0,2,3,399,358,52562,1.1145251396648044,1.075
93815,Minnesota RØKKR,1,3,2,358,399,50131,0.8972431077694235,0.9225
93816,OpTic Texas,0,2,3,393,376,49822,1.0452127659574468,1.04
93816,Boston Breach,1,3,2,376,393,48466,0.9567430025445293,0.9624999999999999
93817,Vegas Falcons,0,1,3,278,291,36010,0.9553264604810997,0.94
93817,Carolina Royal Ravens,1,3,1,289,278,37159,1.039568345323741,1.0574999999999999
93818,Atlanta FaZe,0,1,3,280,289,38241,0.9688581314878892,0.9425
93818,Toronto Ultra,1,3,1,289,280,38694,1.0321428571428573,1.06
93819,Miami Heretics,1,3,0,241,222,31156,1.0855855855855856,1.17
93819,Vegas Falcons,0,0,3,222,242,29883,0.9173553719008265,0.8300000000000001
93820,Minnesota RØKKR,1,3,2,318,356,43571,0.8932584269662921,0.8725
93820,Boston Breach,0,2,3,356,318,45007,1.119496855345912,1.1300000000000001
93821,Vancouver Surge,0,2,3,357,375,47158,0.952,0.9575000000000001
93821,Toronto Ultra,1,3,2,375,357,48777,1.050420168067227,1.0425
93822,Los Angeles Thieves,1,3,1,342,281,41710,1.217081850533808,1.3125
93822,Cloud9 New York,0,1,3,281,345,37508,0.8144927536231884,0.69
93823,LA Guerrillas M8,0,1,3,305,346,39788,0.8815028901734104,0.8875000000000001
93823,Carolina Royal Ravens,1,3,1,346,305,45214,1.1344262295081968,1.1175
93824,Miami Heretics,0,2,3,325,314,43027,1.035031847133758,1.105
93824,Vancouver Surge,1,3,2,312,325,41963,0.96,0.8975000000000001
93825,Cloud9 New York,0,0,3,197,247,26809,0.7975708502024291,0.7024999999999999
93825,OpTic Texas,1,3,0,246,197,28740,1.248730964467005,1.295
93826,Atlanta FaZe,0,2,3,365,384,47610,0.9505208333333334,0.8525
93826,Los Angeles Thieves,1,3,2,384,365,49730,1.0520547945205478,1.1475000000000002
93827,Los Angeles Thieves,1,3,1,354,340,44674,1.0411764705882354,1.025
93827,LA Guerrillas M8,0,1,3,340,354,41049,0.96045197740113,0.9749999999999999
93828,Cloud9 New York,1,3,1,290,295,36527,0.9830508474576272,1.065
93828,Minnesota RØKKR,0,1,3,295,290,37039,1.0172413793103448,0.9375
93829,Miami Heretics,0,2,3,361,349,47041,1.0343839541547277,1.0425
93829,Boston Breach,1,3,2,349,362,45447,0.9640883977900553,0.9600000000000001
93830,OpTic Texas,1,3,1,361,306,43943,1.1797385620915033,1.245
93830,Vancouver Surge,0,1,3,305,362,39887,0.8425414364640884,0.7549999999999999
93831,Toronto Ultra,1,3,0,219,205,28383,1.0682926829268293,1.2
93831,Vegas Falcons,0,0,3,204,219,27167,0.9315068493150684,0.7949999999999999
93832,OpTic Texas,1,3,2,387,406,50757,0.9532019704433498,1.0375
93832,LA Guerrillas M8,0,2,3,405,387,51713,1.0465116279069768,0.965
93833,Carolina Royal Ravens,1,3,0,248,203,31153,1.2216748768472907,1.33
93833,Atlanta FaZe,0,0,3,203,248,27376,0.8185483870967742,0.6699999999999999
93834,Boston Breach,1,3,2,344,327,42208,1.0519877675840978,1.0275
93834,Vancouver Surge,0,2,3,326,346,43038,0.9421965317919075,0.9725
93835,Toronto Ultra,1,3,2,371,346,48477,1.0722543352601157,1.21
93835,Miami Heretics,0,2,3,346,371,46822,0.9326145552560647,0.79
93836,Atlanta FaZe,1,3,1,327,276,40801,1.184782608695652,1.22
93836,Vegas Falcons,0,1,3,276,327,36824,0.8440366972477065,0.7775
93837,Carolina Royal Ravens,1,3,2,369,315,46199,1.1714285714285715,1.185
93837,Cloud9 New York,0,2,3,315,370,42647,0.8513513513513513,0.8125
93838,Los Angeles Thieves,1,3,1,389,388,48844,1.0025773195876289,0.9650000000000001
93838,Minnesota RØKKR,0,1,3,388,389,48327,0.9974293059125964,1.0350000000000001
93839,Minnesota RØKKR,1,3,2,328,299,41799,1.0969899665551839,1.0725
93839,LA Guerrillas M8,0,2,3,299,328,38077,0.9115853658536586,0.9275
93840,Miami Heretics,0,1,3,270,302,36076,0.8940397350993378,0.8524999999999999
93840,Atlanta FaZe,1,3,1,302,270,38682,1.1185185185185185,1.1475
93841,OpTic Texas,1,3,0,244,217,31064,1.1244239631336406,1.1125
93841,Vegas Falcons,0,0,3,216,247,27786,0.8744939271255061,0.8875
93842,Vancouver Surge,0,0,3,198,239,25563,0.8284518828451883,0.775
93842,Cloud9 New York,1,3,0,239,199,28862,1.2010050251256281,1.225
93843,Toronto Ultra,0,2,3,359,365,45124,0.9835616438356164,0.99
93843,Minnesota RØKKR,1,3,2,365,361,46030,1.0110803324099722,1.0125000000000002
93844,Boston Breach,0,2,3,339,352,44500,0.9630681818181818,1.0425
93844,OpTic Texas,1,3,2,351,339,44230,1.0353982300884956,0.9575
93845,Carolina Royal Ravens,1,3,2,373,367,47014,1.0163487738419619,1.0575
93845,Cloud9 New York,0,2,3,367,373,46424,0.9839142091152815,0.945
93846,Los Angeles Thieves,0,1,3,329,360,42088,0.9138888888888889,0.9025000000000001
93846,Atlanta FaZe,1,3,1,359,329,43723,1.0911854103343466,1.0975000000000001
